id,target,comment,label,language,dataset,transformation,translation,target_lang,rtt
17285,La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?,"Si une intervention étatique est nécessaire, elle incombe aux cantons",AGAINST,fr,X-Stance,,": Wenn eine staatliche Intervention notwendig ist, obliegt sie den Kantonen.",de,": Si une intervention de l'État est nécessaire, elle incombe aux cantons."
17286,Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?,"La réponse vaut avant tout pour les revendications de type communautariste. La question est plus délicate s'agissant de l'éducation sexuelle, qui fondamentalement incombe aux parents et non pas à l'école.",AGAINST,fr,X-Stance,,": Die Antwort gilt vor allem für kommunitaristische Ansprüche. Die Frage ist hingegen komplizierter im Zusammenhang mit der sexuellen Erziehung, die grundsätzlich den Eltern obliegt und nicht der Schule.",de,": La réponse s'applique en particulier aux revendications communautaristes. Cependant, la question est plus complexe dans le contexte de l'éducation sexuelle, qui incombe en principe aux parents et non à l'école."
17288,La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?,L'intégration est le résultat d'une démarche individuelle. On ne voit en outre pas pourquoi l'on accorderait à des candidats à la naturalisation ce que l'on n'accorde pas aux Suisses.,AGAINST,fr,X-Stance,,"Die Integration ist das Ergebnis einer individuellen Bemühung. Es wird außerdem nicht verstanden, warum Kandidaten für die Naturalisation Zugeständnisse gemacht werden, die den Schweizern nicht gewährt werden.",de,"La intégration est le résultat d'un effort individuel. De plus, on ne comprend pas pourquoi des candidats à la naturalisation sont accordés des concessions qui ne sont pas faites aux Suisses."
17289,La réglementation de la procréation médicalement assistée devrait-elle être assouplie?,"Elle ne devrait pas l'être dans ses conditions de fond. En revanche, ses conditions de prise en charge par l'assurance-maladie obligatoire devraient être assouplies. Car la PMA ne doit pas être un luxe réservé aux riches.",AGAINST,fr,X-Stance,,: Sie sollte das nicht sein unter den gegebenen Umständen. Hingegen sollten die Versicherungsbedingungen für die Behandlung durch künstliche Befruchtung abgeändert werden. Denn PMA sollte kein Luxus für Reiche sein.,de,": Elle ne devrait pas être ainsi dans les circonstances actuelles. Par contre, les conditions d'assurance devraient être modifiées pour couvrir la traitement par fécondation in vitro. Car la FIV ne doit pas être un luxe réservé aux riches."
17290,Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)?,"La libéralisation complète du marché de l'électricité, c'est le plus sûr moyenne perdre le contrôle d'un domaine stratégique (particulièrement pour des cantons producteurs d'énergie hydraulique comme le Valais) au profit d'acteurs, voire d'Etats étrangers. L'indépendance énergétique est un élément, de surcroît important, de l'indépendance de notre pays.",AGAINST,fr,X-Stance,,"Die vollständige Liberalisierung des Elektrizitätsmarkts ist das sicherste Mittel, einen strategischen Bereich (insbesondere für Kantone, die Wasserkraft produzieren wie der Wallis) an Akteure, oder sogar an ausländische Staaten, zu verlieren. Die Energiunabhängigkeit ist ein wichtiger Bestandteil der Unabhängigkeit unseres Landes.",de,"La libéralisation complète du marché de l'électricité est le moyen le plus sûr de perdre un domaine stratégique (en particulier pour les cantons qui produisent de l'hydroélectricité, comme le Valais) à des acteurs, ou même à des États étrangers. L'indépendance énergétique est un élément crucial de l'independance de notre pays."
17291,Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?,"On ne peut pas tout brader (repos du dimanche, conditions de travail des travailleurs) sous prétexte de développement économique ou de concurrence avec les commerces frontaliers.",AGAINST,fr,X-Stance,,"man nicht alles verkaufen (Sonntagsruhe, Arbeitsbedingungen der Arbeitnehmer) unter dem Vorwand des wirtschaftlichen Aufschwungs oder der Konkurrenz mit den grenznahen Geschäften.",de,"on ne doit pas tout vendre (repos dominical, conditions de travail des travailleurs) sous prétexte de développement économique ou de concurrence avec les entreprises voisines."
17292,Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s?,"Pour éviter les effets pervers de certaines restrictions supplémentaires de droit du travail (dont le durcissement pourrait dissuader les employeurs d'engager des seniors), il convient d'explorer avant tout d'autres voies de nature incitative (p. ex. réduction des cotisations sociales, accès aux ORP pour les chômeurs seniors en fin de droit).",FAVOR,fr,X-Stance,,"Um die negativen Auswirkungen gewisser zusätzlicher Arbeitsmarktreformen zu vermeiden (die eine Dissuasion der Beschäftigung von Senioren durch strengere Regulierungen mit sich bringen könnten), lohnt es sich zunächst andere anregende Wege zu erkunden (z. B. Senkung der Sozialleistungsbeiträge, Zugang zu ORP für langjährige Arbeitslosen am Ende ihrer Versicherungspflicht).",de,"Pour éviter les effets négatifs de certaines réformes supplémentaires du marché du travail (qui pourraient dissuader l'emploi des seniors par des régulations plus strictes), il vaut la peine d'examiner tout d'abord d'autres approches stimulantes (par exemple, la réduction des cotisations sociales, l'accès aux ORP pour les demandeurs d'emploi de longue durée au terme de leur obligation d'assurance)."
17293,L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre?,"Le principe de précaution doit nous inciter à éviter de foncer tête baissée dans le développement d'une technologie qui n'a rien de vital pour notre vie quotidienne, mais dont les risques sont encore largement inconnus.",AGAINST,fr,X-Stance,,"der Vorsorgeprinzipium sollte uns daran erinnern, nicht kopflos in die Entwicklung einer Technologie zu investieren, die für unsere tägliche Lebensroutine wertvoll ist, aber deren Risiken noch weitgehend unbekannt sind.",de,"le principe de précaution devrait nous rappeler de ne pas investir aveuglément dans le développement d'une technologie qui est précieuse pour notre routine quotidienne, mais dont les risques restent pour l'essentiel inconnus."
17294,Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?,"Affranchir notre pays de sa dépendance aux énergies fossiles doit être un objectif, que ce soit pour préserver notre environnement ou pour garantir notre indépendance énergétique. L'objectif 2050 semble toutefois irréaliste et la mise en oeuvre stricte de cette initiative aurait de graves conséquences économiques et sociales, particulièrement pour un canton comme le Valais dépourvu de grands centres urbains propices au développement des transports publics.",AGAINST,fr,X-Stance,,"Unser Land von seiner Abhängigkeit von fossilen Energien zu befreien muss ein Ziel sein, sei es aus Umweltgründen oder um unsere Energieunabhängigkeit zu gewährleisten. Der Jahrhundert-Zielsetting scheint jedoch unrealistisch und die strenge Umsetzung dieser Initiative hätte gravierende wirtschaftliche und soziale Konsequenzen, insbesondere für einen Kanton wie das Wallis, der sich auf große städtische Zentren für den öffentlichen Verkehr nicht stützen kann.",de,"Notre pays doit se libérer de sa dépendance aux énergies fossiles, qu'il s'agisse pour des raisons environnementales ou pour assurer notre indépendance énergétique. Cependant, l'établissement d'un objectif pour le siècle semble réaliste et la mise en œuvre stricte de cette initiative aurait des conséquences économiques et sociales graves, en particulier pour un canton comme le Valais qui ne peut pas se référer à de grands centres urbains pour le transport public."
17295,"Actuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.)?","Une telle extension serait catastrophique pour les Valaisannes et les Valaisans, plus dépendants que d'autres des véhicules individuels et des transports routiers. Elle représenterait pour eux une augmentation spectaculaire du coût de la vie, y compris pour les ménages et personnes aux revenus modestes. On ne nous fera pas croire que nous allons sauver la planète à nous tout seuls simplement en nous mettant un tel autogoal.",AGAINST,fr,X-Stance,,"Eine solche Erweiterung würde katastrophal für die Walliserinnen und Walliser sein, die sich mehr als andere auf individuelle Fahrzeuge und den Fernverkehr verlassen. Sie würde ihnen eine erhebliche Steigerung des Lebenskostenspiegels bedeuten, sowohl für Haushalte als auch für Menschen mit geringem Einkommen. Man wird uns nicht glauben lassen, dass wir die Erde allein retten können, indem wir uns solch ein Eigenziel stellen.",de,"Une telle extension serait catastrophique pour les Wallisoises et les Wallisiers, qui dépendent plus que quiconque des véhicules individuels et du transport longue distance. Elle signifierait pour eux une augmentation importante des coûts de vie, tant pour les ménages que pour ceux avec un faible revenu. On ne nous laissera pas croire que nous pouvons sauver la planète seuls en nous fixant un tel objectif personnel."
17296,La Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis?,"Pour éviter de sacrifier notre agriculture, il convient toutefois d'en exclure le domaine agricole.",FAVOR,fr,X-Stance,,"Um unsere Landwirtschaft nicht zu opfern, muss man den agrarischen Bereich ausgeschlossen halten.",de,"Pour ne pas sacrifier notre agriculture, il faut exclure la sphère agraire."
17549,L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?,"Pour permettre à tous les parents de travailler et de valoriser ainsi leur formation professionnelle, et pour mieux consilier vie familiale et travail, l'Etat doit favoriser la création de crèches, de structures d'accueil de jour, de tables de midi.

Um allen Eltern das Arbeiten zu ermöglichen und damit ihre Ausbildung zu nutzen, und um Berufs- und Familienleben besser zu vereinbaren, muss die öffentliche Hand Kinderkrippen, Tagesstrukturen, Betreuungsangebote und Mittagstische unterstützen.",FAVOR,fr,X-Stance,,"Für die Möglichkeit, dass alle Eltern arbeiten können und somit ihre berufliche Ausbildung wertschätzen, und einen besseren Ausgleich zwischen Beruf und Familie zu schaffen, muss der Staat die Errichtung von Kindertagesstätten, Tagebetreuungsanlagen, Mittagseinrichtungen und -angebote fördern.",de,": Pour permettre à tous les parents de travailler et ainsi valoriser leur formation professionnelle, et pour créer un meilleur équilibre entre vie professionnelle et vie familiale, l'État doit promouvoir la construction de crèches, d'établissements de garde de jour, d'installations et de services de midi."
17550,Une initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette proposition?,"Les jeunes parents doivent pouvoir s'occuper ensemble de leurs bébés nouveaux-nés.

Junge Mütter und Väter sollen sich gemeinsam um ihre neu geborenen Kinder kümmern können.",FAVOR,fr,X-Stance,,"eine Falschübersetzung ist detektiert worden. Die korrekte Übertragung des französischen Satzes ins Deutsche lautet:

Junge Eltern sollten zusammen ihre neuen Geborenen betreuen können.",de,"eine fausse traduction a été détectée. La traduction correcte du français en allemand est :

Jugendliche Elternteile sollten gemeinsam ihre neuen Neugeborenen versorgen können."
