id,target,comment,label,language,dataset,transformation,translation,target_lang,rtt
17285,La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?,"Si une intervention étatique est nécessaire, elle incombe aux cantons",AGAINST,fr,X-Stance,,"Wenn eine staatliche Intervention erforderlich ist, liegt es an den Kantonen",de,"Si une intervention de l'État est nécessaire, il faut que les cantons"
17286,Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?,"La réponse vaut avant tout pour les revendications de type communautariste. La question est plus délicate s'agissant de l'éducation sexuelle, qui fondamentalement incombe aux parents et non pas à l'école.",AGAINST,fr,X-Stance,,"Die Antwort gilt vor allem für Ansprüche der gemeinschaftlichen Art. Die Frage ist noch schwieriger, wenn es um die sexuelle Erziehung geht, die grundsätzlich den Eltern und nicht der Schule obliegt.",de,"La réponse est d'abord celle des exigences de l'art communautaire. La question est encore plus difficile quand il s'agit de l'éducation sexuelle, qui est en principe du ressort des parents et non de l'école."
17288,La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?,L'intégration est le résultat d'une démarche individuelle. On ne voit en outre pas pourquoi l'on accorderait à des candidats à la naturalisation ce que l'on n'accorde pas aux Suisses.,AGAINST,fr,X-Stance,,"Die Integration ist das Ergebnis eines individuellen Ansatzes.Wir sehen auch nicht, warum den Kandidaten für die Einbürgerung das gewährt wird, was den Schweizern nicht gewährt wird.",de,"L'intégration est le résultat d'une approche individuelle. Nous ne voyons pas non plus pourquoi cela est accordé aux candidats à l'Einbürgerung, mais pas aux Suisses."
17289,La réglementation de la procréation médicalement assistée devrait-elle être assouplie?,"Elle ne devrait pas l'être dans ses conditions de fond. En revanche, ses conditions de prise en charge par l'assurance-maladie obligatoire devraient être assouplies. Car la PMA ne doit pas être un luxe réservé aux riches.",AGAINST,fr,X-Stance,,"Die PMA sollte nicht in ihren finanziellen Bedingungen stehen, sondern ihre Bedingungen für die Pflichtschutzversicherung sollten erleichtert werden, da sie kein Luxus für die Reichen sein darf.",de,"Les PMA ne devraient pas être dans leurs conditions financières, mais leurs conditions pour l'assurance de protection obligatoire devraient être facilitées, car elles ne doivent pas être un luxe pour les riches."
17290,Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)?,"La libéralisation complète du marché de l'électricité, c'est le plus sûr moyenne perdre le contrôle d'un domaine stratégique (particulièrement pour des cantons producteurs d'énergie hydraulique comme le Valais) au profit d'acteurs, voire d'Etats étrangers. L'indépendance énergétique est un élément, de surcroît important, de l'indépendance de notre pays.",AGAINST,fr,X-Stance,,"Die vollständige Liberalisierung des Strommarktes ist das sicherste Mittel, um die Kontrolle über ein strategisches Gebiet (insbesondere für die Wasserkraft produzierenden Kantone wie das Wallis) zugunsten von Akteuren oder sogar ausländischen Staaten zu verlieren.",de,La libéralisation complète des marchés de l'électricité est le moyen le plus sûr de perdre le contrôle d'une région stratégique (en particulier pour les cantons producteurs d'électricité comme le Pays de Galles) au profit d'acteurs ou même d'États étrangers.
17291,Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?,"On ne peut pas tout brader (repos du dimanche, conditions de travail des travailleurs) sous prétexte de développement économique ou de concurrence avec les commerces frontaliers.",AGAINST,fr,X-Stance,,"Die Kommission hat sich in der Vergangenheit mit der Frage der Arbeitsbedingungen befaßt, die sich auf die Entwicklung der Wirtschaft und die Konkurrenz mit den grenzüberschreitenden Unternehmen bezieht.",de,"La Commission s'est occupée par le passé de la question des conditions de travail, qui concerne l'évolution de l'économie et la concurrence avec les entreprises transfrontalières."
17292,Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s?,"Pour éviter les effets pervers de certaines restrictions supplémentaires de droit du travail (dont le durcissement pourrait dissuader les employeurs d'engager des seniors), il convient d'explorer avant tout d'autres voies de nature incitative (p. ex. réduction des cotisations sociales, accès aux ORP pour les chômeurs seniors en fin de droit).",FAVOR,fr,X-Stance,,"Um die negativen Auswirkungen bestimmter zusätzlicher Arbeitsrechtbeschränkungen zu vermeiden (dessen Verstärkung die Arbeitgeber davon abhalten könnte, ältere Arbeitnehmer einzustellen), müssen vor allem andere Anreize untersucht werden (z.B. Reduzierung der Sozialbeiträge, Zugang zu ORP für ältere arbeitslosen Arbeitnehmer).",de,"Pour éviter les effets négatifs de certaines restrictions supplémentaires du droit du travail (dont le renforcement pourrait empêcher les employeurs d'embaucher des travailleurs âgés), il faut examiner avant tout d'autres incitations (par exemple, la réduction des cotisations sociales, l'accès à l'ORP pour les travailleurs âgés sans emploi)."
17293,L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre?,"Le principe de précaution doit nous inciter à éviter de foncer tête baissée dans le développement d'une technologie qui n'a rien de vital pour notre vie quotidienne, mais dont les risques sont encore largement inconnus.",AGAINST,fr,X-Stance,,"Der Vorsorgeprinzip sollte uns dazu veranlassen, nicht mit dem Kopf nach unten zu gehen bei der Entwicklung einer Technologie, die für unser tägliches Leben nicht unerläßlich ist, deren Risiken aber noch weitgehend unbekannt sind.",de,"Le principe de précaution devrait nous inciter à agir, et non à nous laisser détourner de la voie de la technologie, qui n'est pas indispensable à notre vie quotidienne, mais dont les risques sont encore largement inconnus."
17294,Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?,"Affranchir notre pays de sa dépendance aux énergies fossiles doit être un objectif, que ce soit pour préserver notre environnement ou pour garantir notre indépendance énergétique. L'objectif 2050 semble toutefois irréaliste et la mise en oeuvre stricte de cette initiative aurait de graves conséquences économiques et sociales, particulièrement pour un canton comme le Valais dépourvu de grands centres urbains propices au développement des transports publics.",AGAINST,fr,X-Stance,,"Die Kommission hat sich in der Vergangenheit mit der Frage der Verringerung der Energieeinsparungen befaßt, die sich aus der Verringerung der Energieversorgung in den Niederlanden und der Verringerung der Energieversorgung in den Niederlanden ergeben hat.",de,La Commission s'est déjà intéressée à la question de la réduction des économies d'énergie résultant de la réduction de l'approvisionnement en énergie aux Pays-Bas.
17295,"Actuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.)?","Une telle extension serait catastrophique pour les Valaisannes et les Valaisans, plus dépendants que d'autres des véhicules individuels et des transports routiers. Elle représenterait pour eux une augmentation spectaculaire du coût de la vie, y compris pour les ménages et personnes aux revenus modestes. On ne nous fera pas croire que nous allons sauver la planète à nous tout seuls simplement en nous mettant un tel autogoal.",AGAINST,fr,X-Stance,,"Die Kommission hat sich in der Vergangenheit bemüht, die Entwicklung der europäischen Verkehrsnetze zu verbessern, um die Verteilung der Verkehrsmittel und die Verteilung der Dienstleistungen zu verbessern, die die Verkehrsmittel und die Verkehrsmittel in der Gemeinschaft fördern.",de,"La Commission s'est efforcée dans le passé d'améliorer le développement des réseaux européens de transport, de la distribution des moyens de transport et de la distribution des services, qui favorisent le transport et le transport dans la Communauté."
