id,target,comment,label,language,source
17883,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,Si les banques sont relativement sûre pourquoi pas un système de vote. C'est une question de volonté.,FAVOR,fr,X-Stance
18099,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Pour autant que cela ne se fasse pas au détriment de la qualité de prestation de soin, ni aux détriments des patients.",FAVOR,fr,X-Stance
18339,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,Le parlement vient de refuser une augmentation de la franchise minimale puisqu'elle pose déjà des problèmes à un certain nombre de ménages. Mais l'effet de seuil (surconsommation dès que la franchise est atteinte) du système actuel est insatisfaisant.,AGAINST,fr,X-Stance
18340,Approuveriez-vous le principe du consentement présumé pour le don d’organes?,"C'est une prouesse de savoir-faire et de technologie médicale et il est utile d'informer le public sur la possibilité de don, mais la dignité humaine (et donc le libre choix de chacun d'y consentir ou non) doit être placée plus haut dans l'échelle des valeurs.",AGAINST,fr,X-Stance
18632,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"L'idée est intéressante, mais le but n'est pas forcément atteint au mieux avec cette proposition.",FAVOR,fr,X-Stance
20228,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"Je préfère travailler sur les coûts avec des mesures concrêtes, soit au mode de financement de soins (ambulatoire et hospitalier), soit les deux. L’instauration d’indicateurs de performances capable de viser l’efficience est nécessaire au même titre qu’une transparence des coûts au niveau suisse.",AGAINST,fr,X-Stance
23209,"Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?",Je suis pour une vignette différente pour les suisse et les étrangers qui utilisent nos routes au rabais.,AGAINST,fr,X-Stance
23683,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,"cela ne sert à rien car ne fait pas baisser les coûts de la santé mais les déplace. Il faut baisser les coûts par exemple en diminuant le catalogue de base ou bien en limitant l'utilisation des moyens technologiques ou encore en limitant l'accès directe aux spécialistes.
Concernant les caisses, il me semble que la création d'une caisse maladie fédérale pour les maladies incurables et les maladies orphelines serait une bonne chose.",AGAINST,fr,X-Stance
23954,Êtes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse?,"Franchement, avons nous besoin d'avions de combat ?",AGAINST,fr,X-Stance
24122,"Selon vous, les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?","Cela ouvre la porte à toutes sortes de dérive, comme celle de considérer des militants climat faisant grève comme des terroristes. Non aux lois liberticides.",AGAINST,fr,X-Stance
24352,"Actuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.)?","Même si actuellement, la voiture reste indispensable dans certaines vallées latérales, il est nécessaire de trouver des alternatives aux carburants fossiles. Des mesures favorisant des formes de mobilité propres doivent être introduites. De façon générale, il est indispensable de repenser la mobilité.",FAVOR,fr,X-Stance
24489,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Il est essentiel de chercher des meilleurs moyens pour garantir la participation aux votations, notamment pour les jeunes, les personnes à mobilité réduite ou depuis l'étranger. Toutefois, le système utilisé doit être fiable à 100%, ce qui n'est pas le cas aujourd'hui, et nous ne pouvons pas prendre de risque avec cela.",AGAINST,fr,X-Stance
25054,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,"Il est important de promouvoir toutes les avancées technologiques par l'encouragement à la recherche au sein de nos HES-EPF-Startups d'une part, et d'autre part élargir le développement de la voie diplotique de la science pour garantir des solutions globales aux énergies renouvelables.",FAVOR,fr,X-Stance
25093,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,En particulier les énergies renouvelables indigènes.,FAVOR,fr,X-Stance
25395,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,Il est nécessaire de donner à nos citoyen-ne-s les moyens de rester compétitifs dans notre société en perpétuelle évolution.,FAVOR,fr,X-Stance
25488,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,Il est déjà possible de déduire ces diverses formations des impôts.,AGAINST,fr,X-Stance
