id,target,comment,label,language,dataset,transformation,translation,target_lang,rtt
17285,La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?,"Si une intervention étatique est nécessaire, elle incombe aux cantons",AGAINST,fr,X-Stance,,"Wenn eine staatliche Intervention erforderlich ist, liegt sie in der Verantwortung der Kantone",de,"Lorsque l'intervention de l'État est nécessaire, elle relève de la responsabilité des cantons"
17286,Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?,"La réponse vaut avant tout pour les revendications de type communautariste. La question est plus délicate s'agissant de l'éducation sexuelle, qui fondamentalement incombe aux parents et non pas à l'école.",AGAINST,fr,X-Stance,,"Die Antwort gilt vor allem für kommunitaristische Forderungen. Die Frage ist schwieriger, wenn es um Sexualerziehung geht, die grundsätzlich den Eltern obliegt und nicht der Schule.",de,"La réponse vaut surtout pour les revendications communautaristes. La question est plus difficile lorsqu'il s'agit d'éducation sexuelle, qui incombe en principe aux parents et non à l'école."
17288,La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?,L'intégration est le résultat d'une démarche individuelle. On ne voit en outre pas pourquoi l'on accorderait à des candidats à la naturalisation ce que l'on n'accorde pas aux Suisses.,AGAINST,fr,X-Stance,,"Die Integration ist das Ergebnis einer individuellen Vorgehensweise. Man sieht auch nicht ein, warum man Bewerbern um die Staatsbürgerschaft etwas einräumen würde, was man den Schweizern nicht einräumt.",de,L'intégration est le résultat d'une démarche individuelle. On ne voit pas non plus pourquoi on accorderait aux candidats à la nationalité quelque chose que l'on refuse aux Suisses.
17289,La réglementation de la procréation médicalement assistée devrait-elle être assouplie?,"Elle ne devrait pas l'être dans ses conditions de fond. En revanche, ses conditions de prise en charge par l'assurance-maladie obligatoire devraient être assouplies. Car la PMA ne doit pas être un luxe réservé aux riches.",AGAINST,fr,X-Stance,,Es sollte nicht in seinen Grundbedingungen sein. Stattdessen sollten seine Bedingungen für die Übernahme durch die obligatorische Krankenversicherung gelockert werden. Denn die PMA sollte kein Luxus für die Reichen sein.,de,"Ça ne devrait pas être dans ses conditions de base. Au lieu de cela, ses conditions pour la prise en charge par l'assurance maladie obligatoire devraient être assouplies. Car la PMA ne doit pas être un luxe réservé aux riches."
17290,Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)?,"La libéralisation complète du marché de l'électricité, c'est le plus sûr moyenne perdre le contrôle d'un domaine stratégique (particulièrement pour des cantons producteurs d'énergie hydraulique comme le Valais) au profit d'acteurs, voire d'Etats étrangers. L'indépendance énergétique est un élément, de surcroît important, de l'indépendance de notre pays.",AGAINST,fr,X-Stance,,"Die vollständige Liberalisierung des Strommarkts ist das sicherste Mittel, um die Kontrolle über ein strategisches Feld zu verlieren (besonders für Wasserkraft produzierende Kantone wie das Wallis) zugunsten von Akteuren oder sogar ausländischen Staaten. Die Energieunabhängigkeit ist ein weiterer wichtiger Bestandteil der Unabhängigkeit unseres Landes.",de,La libéralisation complète du marché de l'électricité est le moyen le plus sûr de perdre le contrôle d'un domaine stratégique (en particulier pour les cantons producteurs d'énergie hydraulique comme le Valais) au profit d'acteurs ou même d'États étrangers. L'indépendance énergétique est un autre élément important de notre indépendance.
17291,Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?,"On ne peut pas tout brader (repos du dimanche, conditions de travail des travailleurs) sous prétexte de développement économique ou de concurrence avec les commerces frontaliers.",AGAINST,fr,X-Stance,,"Man kann nicht alles verkaufen (Sonntagsruhe, Arbeitsbedingungen der Arbeitnehmer) unter dem Vorwand der wirtschaftlichen Entwicklung oder der Konkurrenz mit den benachbarten Betrieben.",de,"On ne peut pas tout vendre (repos dominical, conditions de travail des salariés) sous prétexte de développement économique ou de concurrence avec les entreprises voisines."
17292,Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s?,"Pour éviter les effets pervers de certaines restrictions supplémentaires de droit du travail (dont le durcissement pourrait dissuader les employeurs d'engager des seniors), il convient d'explorer avant tout d'autres voies de nature incitative (p. ex. réduction des cotisations sociales, accès aux ORP pour les chômeurs seniors en fin de droit).",FAVOR,fr,X-Stance,,"Um die negativen Auswirkungen bestimmter zusätzlicher arbeitsrechtlicher Beschränkungen zu vermeiden (die Arbeitgeber könnten durch eine Verschärfung davon abgehalten werden, ältere Arbeitnehmer einzustellen), sollten vor allem andere Anreizmaßnahmen geprüft werden (z. B. Senkung der Sozialversicherungsbeiträge, Zugang zu Arbeitslosenunterstützung für ältere Arbeitnehmer am Ende ihres Arbeitsverhältnisses).",de,"Pour éviter les effets négatifs de certaines restrictions supplémentaires en matière de droit du travail (les employeurs pourraient être dissuadés d'embaucher des travailleurs plus âgés en raison d'une réglementation plus stricte), il convient d'examiner d'autres mesures incitatives (par exemple, réduction des cotisations de sécurité sociale, accès à l'allocation de chômage pour les travailleurs âgés à la fin de leur contrat de travail)."
17293,L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre?,"Le principe de précaution doit nous inciter à éviter de foncer tête baissée dans le développement d'une technologie qui n'a rien de vital pour notre vie quotidienne, mais dont les risques sont encore largement inconnus.",AGAINST,fr,X-Stance,,"Der Grundsatz der Vorsicht muss uns veranlassen, die Entwicklung einer Technologie zu vermeiden, die für unser Alltagsleben von entscheidender Bedeutung ist, deren Risiken jedoch noch weitgehend unbekannt sind.",de,"Le principe de précaution doit nous inciter à éviter le développement d'une technologie qui est essentielle à notre vie quotidienne, mais dont les risques sont encore largement inconnus."
17294,Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?,"Affranchir notre pays de sa dépendance aux énergies fossiles doit être un objectif, que ce soit pour préserver notre environnement ou pour garantir notre indépendance énergétique. L'objectif 2050 semble toutefois irréaliste et la mise en oeuvre stricte de cette initiative aurait de graves conséquences économiques et sociales, particulièrement pour un canton comme le Valais dépourvu de grands centres urbains propices au développement des transports publics.",AGAINST,fr,X-Stance,,"Unser Land von seiner Abhängigkeit von fossilen Energieträgern zu befreien, muss ein Ziel sein, sei es, um unsere Umwelt zu schützen oder um unsere Energieunabhängigkeit zu gewährleisten. Allerdings erscheint das Ziel ""2020"" unrealistisch, und die strikte Umsetzung dieser Initiative hätte schwerwiegende wirtschaftliche und soziale Folgen, besonders für einen Kanton wie das Wallis, der über keine großen städtischen Zentren verfügt, die für die Entwicklung des öffentlichen Verkehrs geeignet sind.",de,"Libérer notre pays de sa dépendance à l'égard des énergies fossiles doit être un objectif, que ce soit pour protéger notre environnement ou pour garantir notre indépendance énergétique. Toutefois, l'objectif « 2010 » paraît irréaliste, et la mise en œuvre stricte de cette initiative aurait de graves conséquences économiques et sociales, en particulier pour un canton comme le Valais, qui ne dispose pas de grands centres urbains adaptés au développement du transport public."
17295,"Actuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.)?","Une telle extension serait catastrophique pour les Valaisannes et les Valaisans, plus dépendants que d'autres des véhicules individuels et des transports routiers. Elle représenterait pour eux une augmentation spectaculaire du coût de la vie, y compris pour les ménages et personnes aux revenus modestes. On ne nous fera pas croire que nous allons sauver la planète à nous tout seuls simplement en nous mettant un tel autogoal.",AGAINST,fr,X-Stance,,"Eine solche Ausweitung wäre katastrophal für die Walliserinnen und Walliser, die mehr als andere von Individualfahrzeugen und dem Strassenverkehr abhängig sind. Sie würde für sie eine dramatische Erhöhung der Lebenshaltungskosten bedeuten, auch für Haushalte mit bescheidenem Einkommen. Man wird uns nicht glauben machen, dass wir den Planeten allein retten werden, indem wir uns ein solches Ziel setzen.",de,"Une telle expansion serait catastrophique pour les Valaisannes et les Valaisans, qui dépendent plus que les autres des véhicules individuels et de la circulation routière. Elle entraînerait pour eux une augmentation dramatique du coût de la vie, y compris pour les ménages à revenus modestes. On ne nous fera pas croire que nous sauverons la planète en nous fixant un tel objectif."
