id,target,comment,label,language,source,transformation,translation,target_lang,rtt
17883,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,Si les banques sont relativement sûre pourquoi pas un système de vote. C'est une question de volonté.,FAVOR,fr,X-Stance,,"If banks are relatively safe, why not a voting ? It's a matter of will.",en,"Si les banques sont relativement sûres, pourquoi pas un vote? C'est une question de volonté."
18099,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Pour autant que cela ne se fasse pas au détriment de la qualité de prestation de soin, ni aux détriments des patients.",FAVOR,fr,X-Stance,,"As long as this is not done at the expense of the quality of care provided, nor to the detriment of the patients.",en,"Tant que cela n'est pas fait au détriment de la qualité des soins fournis, ni au préjudice des patients."
18339,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,Le parlement vient de refuser une augmentation de la franchise minimale puisqu'elle pose déjà des problèmes à un certain nombre de ménages. Mais l'effet de seuil (surconsommation dès que la franchise est atteinte) du système actuel est insatisfaisant.,AGAINST,fr,X-Stance,,The parliament has just refused an increase in the minimum deductible since it already poses problems for a number of households. But the threshold effect (overconsumption as soon as the deductible is reached) of the current is unsatisfactory.,en,"Le parlement vient de refune augmentation de la franchise minimale, car elle pose déjà des problèmes à un certain nombre de ménages. Mais l'effet de seuil (surconsommation dès que la franchise est atteinte) du système actuel est insatisfaisant."
18340,Approuveriez-vous le principe du consentement présumé pour le don d’organes?,"C'est une prouesse de savoir-faire et de technologie médicale et il est utile d'informer le public sur la possibilité de don, mais la dignité humaine (et donc le libre choix de chacun d'y consentir ou non) doit être placée plus haut dans l'échelle des valeurs.",AGAINST,fr,X-Stance,,"It is a feat of know-how and medical technology and it is useful to inform the public about the possibility of donation, but human dignity (and therefore everyone's free choice to consent or not) must be placed higher on the scale of values.",en,"C'est un exploit de savoir-faire et de technologie médicale et il est utile d'informer le public sur la possibilité de don, mais la dignité humaine (et donc le libre choix de chacun de consentir ou non) doit être placée plus haut dans l'échelle des valeurs."
18632,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"L'idée est intéressante, mais le but n'est pas forcément atteint au mieux avec cette proposition.",FAVOR,fr,X-Stance,,"The idea is interesting, but the goal is not necessarily achieved at its best with this proposal.",en,"L'idée est intéressante, mais l'objectif n'est pas nécessairement atteint au mieux avec cette proposition."
20228,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"Je préfère travailler sur les coûts avec des mesures concrêtes, soit au mode de financement de soins (ambulatoire et hospitalier), soit les deux. L’instauration d’indicateurs de performances capable de viser l’efficience est nécessaire au même titre qu’une transparence des coûts au niveau suisse.",AGAINST,fr,X-Stance,,"I prefer to work on costs with concrete measures, either in the mode of care financing (outpatient and inpatient), or both. The establishment of performance indicators capable of targeting efficiency is necessary, as is cost transparency at the Swiss level.",en,"Je préfère travailler sur les coûts avec des mesures concrètes, soit dans le mode de financement des soins (ambulatoire et hospitalier), soit dans les deux. L'établissement d'indicateurs de performance capables de cibler l'efficacité est nécessaire, tout comme la transparence des coûts au niveau suisse."
23209,"Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?",Je suis pour une vignette différente pour les suisse et les étrangers qui utilisent nos routes au rabais.,AGAINST,fr,X-Stance,,I am in favor of a different vignette for Swiss and foreigners who use our roads at a discount.,en,Je suis favorable à une vignette différente pour les Suisses et les étrangers qui utilisent nos routes à prix réduit.
23683,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,"cela ne sert à rien car ne fait pas baisser les coûts de la santé mais les déplace. Il faut baisser les coûts par exemple en diminuant le catalogue de base ou bien en limitant l'utilisation des moyens technologiques ou encore en limitant l'accès directe aux spécialistes.
Concernant les caisses, il me semble que la création d'une caisse maladie fédérale pour les maladies incurables et les maladies orphelines serait une bonne chose.",AGAINST,fr,X-Stance,,"It is useless because it doesn't lower health costs, it just shifts them. We need to lower costs, for example, by reducing the basic catalog or limiting the use of technological means or limiting direct access to specialists.
Regarding the funds, it seems to me that the creation of a federal health fund for incurable diseases and orphan diseases would be a good thing.",en,"C'est inutile parce qu'il ne réduit pas les coûts de santé, il les déplace simplement. Nous devons réduire les coûts, par exemple en réduisant le catalogue de base ou en limitant l'utilisation des moyens technologiques ou l'accès direct aux spécialistes.
En ce qui concerne les fonds, il me semble que la création d'un fonds fédéral de santé pour les maladies incurables et les maladies orphelines serait une bonne chose."
23954,Êtes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse?,"Franchement, avons nous besoin d'avions de combat ?",AGAINST,fr,X-Stance,,"Frankly, do we need fighter planes?",en,"Franchement, avons-nous besoin d'avions de combat?"
24122,"Selon vous, les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?","Cela ouvre la porte à toutes sortes de dérive, comme celle de considérer des militants climat faisant grève comme des terroristes. Non aux lois liberticides.",AGAINST,fr,X-Stance,,"This opens the door to all kinds of drift, such as considering climate activists on strike as terrorists. No to restrictive laws.",en,"Cela ouvre la porte à toutes sortes de dérives, comme considérer les activistes climatiques en grève comme des terroristes. Non aux lois restrictives."
