id,target,comment,label,language,dataset,transformation,translation,target_lang,rtt
17285,La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?,"Si une intervention étatique est nécessaire, elle incombe aux cantons",AGAINST,fr,X-Stance,,"Sollte eine staatliche Intervention erforderlich sein, obliegt diese den Kantonen",de,"Si une intervention de l’État est nécessaire, elle incombe aux cantons"
17286,Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?,"La réponse vaut avant tout pour les revendications de type communautariste. La question est plus délicate s'agissant de l'éducation sexuelle, qui fondamentalement incombe aux parents et non pas à l'école.",AGAINST,fr,X-Stance,,"Die Antwort gilt vor allem für Gemeinschaftsansprüche. Die Frage ist heikler, wenn es um Sexualerziehung geht, die grundsätzlich den Eltern und nicht der Schule obliegt.",de,"La réponse vaut surtout pour les revendications communautaires. La question est plus délicate lorsqu'il s'agit d'éducation sexuelle, qui incombe en principe aux parents et non à l'école."
17288,La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?,L'intégration est le résultat d'une démarche individuelle. On ne voit en outre pas pourquoi l'on accorderait à des candidats à la naturalisation ce que l'on n'accorde pas aux Suisses.,AGAINST,fr,X-Stance,,"Die Integration ist das Ergebnis einer individuellen Vorgehensweise. Außerdem ist nicht einzusehen, warum man Einbürgerungskandidaten das gewähren sollte, was man den Schweizern nicht gewährt.",de,"L’intégration est le résultat d’une démarche individuelle. En outre, on ne voit pas pourquoi on devrait accorder aux candidats à la naturalisation ce que l’on n’accorde pas aux Suisses."
17289,La réglementation de la procréation médicalement assistée devrait-elle être assouplie?,"Elle ne devrait pas l'être dans ses conditions de fond. En revanche, ses conditions de prise en charge par l'assurance-maladie obligatoire devraient être assouplies. Car la PMA ne doit pas être un luxe réservé aux riches.",AGAINST,fr,X-Stance,,Sie sollte es in ihren Grundbedingungen nicht sein. Im Gegensatz dazu sollten ihre Bedingungen für die Übernahme durch die gesetzliche Krankenversicherung gelockert werden. Denn die PMA darf kein Luxus für Reiche sein.,de,"Elle ne devrait pas l'être dans ses conditions de base. En revanche, ses conditions d'acceptation par l'assurance maladie obligatoire devraient être assouplies. En effet, la PMA ne doit pas être un luxe pour les riches."
17290,Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)?,"La libéralisation complète du marché de l'électricité, c'est le plus sûr moyenne perdre le contrôle d'un domaine stratégique (particulièrement pour des cantons producteurs d'énergie hydraulique comme le Valais) au profit d'acteurs, voire d'Etats étrangers. L'indépendance énergétique est un élément, de surcroît important, de l'indépendance de notre pays.",AGAINST,fr,X-Stance,,"Die vollständige Liberalisierung des Strommarktes ist der sicherste Weg, die Kontrolle über einen strategischen Bereich (insbesondere für Wasserkraftkantone wie Wallis) an Akteure oder sogar ausländische Staaten zu verlieren. Die Energieunabhängigkeit ist ein wichtiger Bestandteil der Unabhängigkeit unseres Landes.",de,La libéralisation totale du marché de l'électricité est le moyen le plus sûr de perdre le contrôle d'un secteur stratégique (en particulier pour les cantons hydrauliques comme celui du Valais) au profit d'acteurs ou même d'États étrangers. L'indépendance énergétique est un élément important de celle de notre pays.
17291,Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?,"On ne peut pas tout brader (repos du dimanche, conditions de travail des travailleurs) sous prétexte de développement économique ou de concurrence avec les commerces frontaliers.",AGAINST,fr,X-Stance,,"Man kann nicht alles ausverkaufen (Sonntagsruhe, Arbeitsbedingungen der Arbeitnehmer) unter dem Vorwand der wirtschaftlichen Entwicklung oder des Wettbewerbs mit den Grenzgeschäften.",de,"On ne peut pas tout vendre (le repos dominical, les conditions de travail des employés) sous prétexte du développement économique ou de la concurrence avec les magasins frontaliers."
17292,Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s?,"Pour éviter les effets pervers de certaines restrictions supplémentaires de droit du travail (dont le durcissement pourrait dissuader les employeurs d'engager des seniors), il convient d'explorer avant tout d'autres voies de nature incitative (p. ex. réduction des cotisations sociales, accès aux ORP pour les chômeurs seniors en fin de droit).",FAVOR,fr,X-Stance,,"Um die negativen Auswirkungen bestimmter zusätzlicher Einschränkungen des Arbeitsrechts (deren Verschärfung Arbeitgeber davon abhalten könnte, ältere Arbeitnehmer einzustellen) zu vermeiden, sollten vor allem andere Anreize geschaffen werden (z. B. Senkung der Sozialversicherungsbeiträge, Zugang zu den Arbeitsvermittlungszentren für ältere Arbeitslose am Ende ihres Anspruchs).",de,"Afin d'éviter les effets négatifs de certaines restrictions supplémentaires du droit du travail (dont l'aggravation pourrait dissuader les employeurs d'embaucher des travailleurs âgés), il faudrait avant tout créer d'autres incitations (par exemple, la réduction des cotisations de sécurité sociale, l'accès aux centres de placement pour les chômeurs âgés à la fin de leur droit)."
17293,L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre?,"Le principe de précaution doit nous inciter à éviter de foncer tête baissée dans le développement d'une technologie qui n'a rien de vital pour notre vie quotidienne, mais dont les risques sont encore largement inconnus.",AGAINST,fr,X-Stance,,"Das Vorsorgeprinzip sollte uns dazu veranlassen, nicht kopfüber in die Entwicklung einer Technologie zu stürzen, die für unser tägliches Leben nicht lebenswichtig ist, deren Risiken jedoch noch weitgehend unbekannt sind.",de,"Le principe de précaution devrait nous amener à ne pas plonger tête baissée dans le développement d'une technologie qui n'est pas essentielle à notre vie quotidienne, mais dont les risques sont encore largement inconnus."
17294,Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?,"Affranchir notre pays de sa dépendance aux énergies fossiles doit être un objectif, que ce soit pour préserver notre environnement ou pour garantir notre indépendance énergétique. L'objectif 2050 semble toutefois irréaliste et la mise en oeuvre stricte de cette initiative aurait de graves conséquences économiques et sociales, particulièrement pour un canton comme le Valais dépourvu de grands centres urbains propices au développement des transports publics.",AGAINST,fr,X-Stance,,"Unser Land von seiner Abhängigkeit von fossilen Energieträgern zu befreien, muss ein Ziel sein, sei es zum Schutz unserer Umwelt oder zur Gewährleistung unserer Energieunabhängigkeit. Das Ziel für das Jahr 2100 erscheint jedoch unrealistisch und die strikte Umsetzung dieser Initiative hätte schwerwiegende wirtschaftliche und soziale Folgen, insbesondere für einen Kanton wie den Wallis, der über keine großen städtischen Zentren verfügt, die für die Entwicklung des öffentlichen Verkehrs förderlich sind.",de,"Libérer notre pays de sa dépendance aux énergies fossiles doit être un objectif, que ce soit pour protéger notre environnement ou pour garantir notre indépendance énergétique. Cependant, l'objectif pour l'année 2 1 00 semble irréaliste et la mise en œuvre stricte de cette initiative aurait de graves conséquences économiques et sociales, en particulier pour un canton comme le Valais, qui ne dispose pas de grands centres urbains propices au développement des transports publics."
17295,"Actuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.)?","Une telle extension serait catastrophique pour les Valaisannes et les Valaisans, plus dépendants que d'autres des véhicules individuels et des transports routiers. Elle représenterait pour eux une augmentation spectaculaire du coût de la vie, y compris pour les ménages et personnes aux revenus modestes. On ne nous fera pas croire que nous allons sauver la planète à nous tout seuls simplement en nous mettant un tel autogoal.",AGAINST,fr,X-Stance,,"Eine solche Ausweitung wäre katastrophal für die Walliserinnen und Walliser, die stärker als andere auf individuelle Fahrzeuge und den Strassenverkehr angewiesen sind. Sie würde für sie eine dramatische Erhöhung der Lebenshaltungskosten bedeuten, auch für Haushalte und Personen mit geringem Einkommen. Man wird uns nicht weismachen, dass wir die Welt allein retten können, indem wir uns einen solchen Eigentor setzen.",de,"Une telle extension serait catastrophique pour les Valaisans, qui dépendent plus que d'autres des véhicules individuels et de la circulation routière. Elle entraînerait pour eux une augmentation dramatique du coût de la vie, y compris pour les ménages et les personnes à faible revenu. On ne nous fera pas croire que nous pouvons sauver le monde tout seuls en nous tirant une telle balle dans le pied."
17296,La Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis?,"Pour éviter de sacrifier notre agriculture, il convient toutefois d'en exclure le domaine agricole.",FAVOR,fr,X-Stance,,"Um unsere Landwirtschaft nicht zu opfern, sollte jedoch der landwirtschaftliche Bereich davon ausgenommen werden.",de,"Cependant, pour ne pas sacrifier notre agriculture, le secteur agricole devrait en être exclu."
17549,L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?,"Pour permettre à tous les parents de travailler et de valoriser ainsi leur formation professionnelle, et pour mieux consilier vie familiale et travail, l'Etat doit favoriser la création de crèches, de structures d'accueil de jour, de tables de midi.

Um allen Eltern das Arbeiten zu ermöglichen und damit ihre Ausbildung zu nutzen, und um Berufs- und Familienleben besser zu vereinbaren, muss die öffentliche Hand Kinderkrippen, Tagesstrukturen, Betreuungsangebote und Mittagstische unterstützen.",FAVOR,fr,X-Stance,,"Damit alle Eltern arbeiten und ihre berufliche Ausbildung nutzen können und um Beruf und Familie besser vereinbaren zu können, muss der Staat die Schaffung von Kindertagesstätten, Tagesbetreuungseinrichtungen, Mittagsangeboten unterstützen.",de,"Pour permettre à tous les parents de travailler et d'utiliser leur formation professionnelle, et pour mieux concilier vie professionnelle et vie familiale, l'État doit soutenir la création de crèches, de garderies et de services de restauration scolaire."
17550,Une initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette proposition?,"Les jeunes parents doivent pouvoir s'occuper ensemble de leurs bébés nouveaux-nés.

Junge Mütter und Väter sollen sich gemeinsam um ihre neu geborenen Kinder kümmern können.",FAVOR,fr,X-Stance,,Die jungen Eltern müssen gemeinsam für ihre neugeborenen Babys sorgen können.,de,Les jeunes parents doivent pouvoir s'occuper ensemble de leurs nouveau-nés.
