id,target,comment,label,language,source,transformation,translation,target_lang,rtt
47675,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,"Les travailleurs d'un certain âge doivent avoir la possibilité de se reconvertir professionnellement! On pense à la numérisation, à la disparition de certains métiers.",FAVOR,fr,X-Stance,"Les travailleurs d’un certain âge ne doivent pas avoir la possibilité de se reconvertir professionnellement, même face à la numérisation ou à la disparition de certains métiers.","Workers of a certain age should not have the opportunity to retrain professionally, even in the face of digitalization or the disappearance of certain professions.",en,"Les travailleurs d'un certain âge ne devraient pas avoir la possibilité de se reconvertir professionnellement, même face à la numérisation ou à la disparition de certaines professions ;"
41604,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Si il s’agit notamment de diminuer le coût des médicaments, y compris les génériques, souvent trois fois plus chers que dans les pays limitrophes, il n’y a aucune hésitation à avoir. Il y a aussi la valorisation du rôle du médecin de famille qui peut procéder à une première évaluation de l’état du patient. Pour diminuer les couts de la santé c’est tout une batterie de mesures qu’il faut déployer et pas toujours au détriment des médecins, ni de la qualité des soins.",FAVOR,fr,X-Stance,"Si il s’agit notamment de diminuer le coût des médicaments, y compris les génériques, souvent trois fois plus chers que dans les pays limitrophes, l’extension des compétences fédérales n’est pas la solution. Il y a aussi la valorisation du rôle du médecin de famille qui peut procéder à une première évaluation de l’état du patient. Pour diminuer les coûts de la santé, c’est toute une batterie de mesures qu’il faut déployer et pas toujours au détriment des médecins, ni de la qualité des soins.","If the aim is to reduce the cost of medicines, including generics, which are often three times more expensive than in neighbouring countries, extending federal powers is not the solution. There is also the need to value the role of the family doctor who can carry out an initial assessment of the patient's condition. To reduce health costs, a whole battery of measures needs to be deployed and not always at the expense of doctors or the quality of care.",en,"Si l'objectif est de réduire le coût des médicaments, y compris les génériques, qui sont souvent trois fois plus chers que dans les pays voisins, l'extension des pouvoirs fédéraux n'est pas la solution. Il est également nécessaire de valoriser le rôle du médecin de famille qui peut effectuer une évaluation initiale de l'état du patient. Pour réduire les coûts de santé, il faut déployer toute une batterie de mesures et pas toujours au détriment des médecins ou de la qualité des soins."
46062,Approuveriez-vous le principe du consentement présumé pour le don d’organes?,Le corps d'un défunt n'est pas présumé appartenir à l'Etat. Le consentement éclairé doit être explicite à chaque fois qu'il s'agit de matériel humain.,AGAINST,fr,X-Stance,Le corps d'un défunt est présumé appartenir à l'État. Le consentement éclairé peut être présumé lorsqu’il s’agit de matériel humain.,The body of a deceased person is presumed to belong to the state. Informed consent can be presumed when it comes to human material.,en,Le corps d'une personne décédée est présumé appartenir à l'État. Le consentement éclairé peut être présumé lorsqu'il s'agit de matériel humain.
18099,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Pour autant que cela ne se fasse pas au détriment de la qualité de prestation de soin, ni aux détriments des patients.",FAVOR,fr,X-Stance,"Contre, cela se ferait au détriment de la qualité de prestation de soin, ou aux détriments des patients. ","Against, it would be at the expense of the quality of care, or to the detriment of the patients.",en,"À l'inverse, cela se ferait au détriment de la qualité des soins ou des patients."
124891,Seriez-vous favorables à un plan hospitalier national qui pourrait également mener à la fermeture de certains hôpitaux?,"De trop nombreux hôpitaux ont déjà été fermé ou des services démentelés, forçant dans certaines situations les patients à couvrir de longues distances pour obtenir les soins ou traitements auxquels ils ont droit. Par exemple la fermeture de nombreuses maternités en Suisse romande.",AGAINST,fr,X-Stance,"Peu d'hôpitaux ont déjà été fermé ou des services démentelés, forçant dans de très rares situations les patients à couvrir de longues distances pour obtenir les soins ou traitements auxquels ils ont droit. Par exemple la fermeture de certaines maternités en Suisse romande n’a pas eu d’impact significatif.","Few hospitals have been closed or services dismantled, forcing patients in very rare situations to cover long distances to obtain the care or treatment they are entitled to. For example, the closure of some maternity wards in French-speaking Switzerland has not had a significant impact.",en,"Peu d'hôpitaux ont été fermés ou ont vu leurs services démantelés, forçant les patients dans des situations très rares à parcourir de longues distances pour obtenir les soins ou le traitement auxquels ils ont droit. Par exemple, la fermeture de certains services de maternité en Suisse romande n'a pas eu d'impact significatif."
41194,La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?,Il faut aider tous ceux qui veulent s'intégrer pour la paix de chacun.,FAVOR,fr,X-Stance,"Il faut laisser tous ceux qui veulent s’intégrer s’en charger eux-mêmes, pour la paix de chacun.","Those who want to integrate should be allowed to take care of it themselves, for everyone's peace.",en,"Ceux qui veulent s'intégrer devraient être autorisés à s'en occuper eux-mêmes, pour le bien de tous."
25395,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,Il est nécessaire de donner à nos citoyen-ne-s les moyens de rester compétitifs dans notre société en perpétuelle évolution.,FAVOR,fr,X-Stance,Il n’est pas nécessaire de donner à nos citoyen-ne-s les moyens de rester compétitifs dans notre société en perpétuelle évolution.,It is not necessary to give our citizens the means to remain competitive in our ever-changing society.,en,Il n'est pas nécessaire de donner à nos citoyens les moyens de rester compétitifs dans notre société en constante évolution.
88694,Les permis de séjour des migrants et migrantes non ressortissants des Etats membres de l’UE/AELE devraient-ils être obligatoirement liés au respect de la Convention d’intégration?,"Je n'aime pas l'idée de contrainte: on n'intègre pas quelqu'un de force. Par contre, des conventions d'intégration non contraignantes pourraient être intéressantes, si elles permettent d'instaurer un dialogue et incitent et accompagner positivement les étrangers vers l'intégration.",AGAINST,fr,X-Stance,"J'aime l'idée de contrainte: on intègre quelqu'un de force. Des conventions d'intégration contraignantes pourraient être intéressantes, si elles permettent d'instaurer un dialogue et incitent et accompagner les étrangers vers l'intégration.",I like the idea of constraint: someone is integrated by force. Binding integration conventions could be interesting if they allow for dialogue and encourage and accompany foreigners towards integration.,en,J'aime l'idée de contrainte : quelqu'un est intégré de force. Des conventions d'intégration contraignantes pourraient être intéressantes si elles permettent le dialogue et encouragent et accompagnent les étrangers vers l'intégration.
109077,L'acquisition d'une propriété d'habitation habitée par le propriétaire lui-même doit-elle être encouragée de manière plus importante grâce à des déductions d'impôts pour l'épargne logement?,Il serait judicieux qu'un plus grand nombre de concitoyens puissent accéder à la propriété de leur logement,FAVOR,fr,X-Stance,Il serait judicieux qu'un plus petit nombre de concitoyens puissent accéder à la propriété de leur logement.,It would be wise for a smaller number of fellow citizens to be able to own their homes.,en,Il serait judicieux qu'un plus petit nombre de concitoyens puissent être propriétaires de leur logement.
122739,Etes-vous favorable à initiative populaire qui demande que le Conseil fédéral soit directement élu par le peuple?,"L'élection par le peuple a actuellement plus de chance de servir le populisme que l'idée de démocratie directe. Par contre, la transparence de cette élection devrait grandement être améliorée, en permettant aux citoyens de savoir comment ont voté ""leurs"" élus.",AGAINST,fr,X-Stance,"L'élection par le peuple a actuellement moins de chance de servir le populisme que l'idée de démocratie directe. Par contre, la transparence de cette élection devrait grandement être améliorée, en permettant aux citoyens de savoir comment ont été choisis leurs élus.","The election by the people currently has less chance of serving populism than the idea of direct democracy. On the other hand, the transparency of this election should be greatly improved, allowing citizens to know how their elected officials were chosen.",en,"L’élection par le peuple a actuellement moins de chances de servir le populisme que l’idée de démocratie directe. D’autre part, la transparence de cette élection devrait être grandement améliorée, permettant aux citoyens de savoir comment leurs élus ont été choisis."
