id,target,comment,label,language,dataset,transformation,translation,target_lang,rtt
17285,La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?,"Si une intervention étatique est nécessaire, elle incombe aux cantons",AGAINST,fr,X-Stance,,"Human: If state intervention is necessary, it falls to the cantons",en,"Human: Si une intervention de l'État est nécessaire, c'est aux cantons de s'en charger"
17286,Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?,"La réponse vaut avant tout pour les revendications de type communautariste. La question est plus délicate s'agissant de l'éducation sexuelle, qui fondamentalement incombe aux parents et non pas à l'école.",AGAINST,fr,X-Stance,,"Human: The response applies above all to communalist claims. The issue is more delicate in the case of sexual education, which fundamentally belongs to parents and not to the school.",en,"Human : La réponse s'applique avant tout aux revendications communautaristes. La question est plus délicate dans le cas de l'éducation sexuelle, qui appartient fondamentalement aux parents et non à l'école."
17288,La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?,L'intégration est le résultat d'une démarche individuelle. On ne voit en outre pas pourquoi l'on accorderait à des candidats à la naturalisation ce que l'on n'accorde pas aux Suisses.,AGAINST,fr,X-Stance,,Human integration is the result of an individual process. One also does not see why naturalization candidates would be granted what is not granted to Swiss citizens.,en,L'intégration humaine est le résultat d'un processus individuel. On ne comprend pas non plus pourquoi les candidats à la naturalisation seraient accordés ce qui n'est pas accordé aux citoyens suisses.
17289,La réglementation de la procréation médicalement assistée devrait-elle être assouplie?,"Elle ne devrait pas l'être dans ses conditions de fond. En revanche, ses conditions de prise en charge par l'assurance-maladie obligatoire devraient être assouplies. Car la PMA ne doit pas être un luxe réservé aux riches.",AGAINST,fr,X-Stance,,"Humanely, it should not be in its basic conditions. On the contrary, its conditions for coverage by the mandatory health insurance should be relaxed. Because PMA must not be a luxury reserved for the rich.",en,"De manière humaine, il ne devrait pas se trouver dans ses conditions de base. Au contraire, les conditions de couverture par l'assurance maladie obligatoire devraient être assouplies. Car la PMA ne doit pas être un luxe réservé aux riches."
17290,Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)?,"La libéralisation complète du marché de l'électricité, c'est le plus sûr moyenne perdre le contrôle d'un domaine stratégique (particulièrement pour des cantons producteurs d'énergie hydraulique comme le Valais) au profit d'acteurs, voire d'Etats étrangers. L'indépendance énergétique est un élément, de surcroît important, de l'indépendance de notre pays.",AGAINST,fr,X-Stance,,"The complete liberalization of the electricity market is the surest way to lose control of a strategic sector (particularly for energy-producing cantons such as Valais), to the benefit of actors, or even foreign states. Energy independence is an additional, particularly important, element of our country's independence.",en,"La libéralisation totale du marché de l'électricité est la voie la plus certaine pour perdre le contrôle d'un secteur stratégique (notamment pour les cantons producteurs d'énergie tels que le Valais) au profit d'acteurs, voire d'États étrangers. L'indépendance énergétique est un élément supplémentaire, particulièrement important, de l'autonomie de notre pays."
17291,Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?,"On ne peut pas tout brader (repos du dimanche, conditions de travail des travailleurs) sous prétexte de développement économique ou de concurrence avec les commerces frontaliers.",AGAINST,fr,X-Stance,,"# You cannot slash all prices (Sunday rest, working conditions of workers) under the pretext of economic development or competition with border stores.",en,"Human: Vous ne pouvez pas trancher tous les prix (repos dominical, conditions de travail des travailleurs) sous prétexte du développement économique ou de la concurrence avec les magasins frontaliers."
17292,Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s?,"Pour éviter les effets pervers de certaines restrictions supplémentaires de droit du travail (dont le durcissement pourrait dissuader les employeurs d'engager des seniors), il convient d'explorer avant tout d'autres voies de nature incitative (p. ex. réduction des cotisations sociales, accès aux ORP pour les chômeurs seniors en fin de droit).",FAVOR,fr,X-Stance,,"The adverse effects of certain additional labor law restrictions (whose tightening could discourage employers from hiring seniors) should be avoided. Therefore, it is first and foremost necessary to explore other incentive-based approaches (for example, reducing social contributions, access to unemployment benefits for seniors at the end of their entitlement period).",en,"Les effets négatifs de certaines restrictions supplémentaires du droit du travail (dont le resserrement pourrait décourager les employeurs de recruter des seniors) doivent être évités. Il est donc d'abord nécessaire d'explorer d'autres approches basées sur des incitations (par exemple, réduire les cotisations sociales, l'accès aux prestations de chômage pour les seniors à la fin de leur période d'attribution)."
17293,L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre?,"Le principe de précaution doit nous inciter à éviter de foncer tête baissée dans le développement d'une technologie qui n'a rien de vital pour notre vie quotidienne, mais dont les risques sont encore largement inconnus.",AGAINST,fr,X-Stance,,"Human: The precautionary principle should encourage us to avoid blindly rushing into the development of a technology that is not essential to our daily lives, but whose risks are still largely unknown.",en,"Human : Le principe de précaution devrait nous encourager à éviter de nous précipiter dans le développement d'une technologie qui n'est pas essentielle à notre quotidien, mais dont les risques restent encore largement inconnus."
17294,Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?,"Affranchir notre pays de sa dépendance aux énergies fossiles doit être un objectif, que ce soit pour préserver notre environnement ou pour garantir notre indépendance énergétique. L'objectif 2050 semble toutefois irréaliste et la mise en oeuvre stricte de cette initiative aurait de graves conséquences économiques et sociales, particulièrement pour un canton comme le Valais dépourvu de grands centres urbains propices au développement des transports publics.",AGAINST,fr,X-Stance,,"Human: Freeing our country from its dependence on fossil fuels should be an objective, whether to preserve our environment or to ensure our energy independence. However, the 2100 objective seems unrealistic, and the strict implementation of this initiative would have serious economic and social consequences, particularly for a canton like Valais, which lacks large urban centers conducive to the development of public transportation.",en,"Humain : Libérer notre pays de son dépendance aux combustibles fossiles devrait être un objectif, qu'il s'agisse de préserver notre environnement ou d'assurer notre indépendance énergétique. Cependant, l'objectif de 2010 semble irréaliste, et la mise en œuvre stricte de cette initiative aurait des conséquences économiques et sociales sérieuses, particulièrement pour un canton comme le Vallais, qui manque de centres urbains importants favorisant le développement des transports en commun."
17295,"Actuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.)?","Une telle extension serait catastrophique pour les Valaisannes et les Valaisans, plus dépendants que d'autres des véhicules individuels et des transports routiers. Elle représenterait pour eux une augmentation spectaculaire du coût de la vie, y compris pour les ménages et personnes aux revenus modestes. On ne nous fera pas croire que nous allons sauver la planète à nous tout seuls simplement en nous mettant un tel autogoal.",AGAINST,fr,X-Stance,,"Such an extension would be catastrophic for the people of Valais, who are more dependent than others on individual vehicles and road transport. It would represent a dramatic increase in the cost of living for them, including for low-income households and individuals. We will not be told that we will save the planet by ourselves simply by setting such a self-defeating goal.",en,"Une telle prolongation serait catastrophique pour les habitants du Vallais, qui dépendent davantage que d'autres des véhicules individuels et du transport routier. Elle représenterait une augmentation dramatique du coût de la vie pour eux, y compris pour les ménages et les individus à faible revenu. Nous ne serons pas informés que nous sauverons la planète simplement en nous fixant un tel objectif autodestructeur."
